Filename,BRISQUE Score
diastole1657.png,8.02
diastole1658.png,17.91
diastole1659.png,-8.58
diastole166.png,-7.13
diastole1660.png,11.89
diastole1661.png,4.9
diastole1662.png,10.43
diastole1663.png,16.52
diastole1664.png,16.92
diastole1665.png,-3.6
diastole1666.png,18.65
diastole1667.png,20.14
diastole1669.png,9.31
diastole1668.png,17.5
diastole167.png,13.84
diastole1670.png,13.52
diastole1673.png,-2.47
diastole1671.png,8.45
diastole1672.png,8.17
diastole1674.png,-12.64
diastole1675.png,1.1
diastole1677.png,-12.45
diastole1676.png,0.36
diastole1678.png,7.83
diastole1679.png,-10.77
diastole168.png,5.14
diastole1680.png,1.32
diastole1681.png,15.63
diastole1683.png,20.73
diastole1682.png,7.8
diastole1684.png,0.72
diastole1685.png,5.07
diastole1686.png,7.44
diastole1687.png,12.99
diastole1688.png,16.96
diastole1689.png,-0.65
diastole169.png,0.24
diastole1690.png,-3.23
diastole1691.png,9.0
diastole1692.png,19.07
diastole1693.png,26.69
diastole1694.png,11.64
diastole1695.png,9.53
diastole1696.png,16.43
diastole1697.png,-2.54
diastole1698.png,16.38
diastole1699.png,-6.37
diastole17.png,14.83
diastole170.png,16.59
diastole1700.png,19.45
diastole1701.png,4.43
diastole1702.png,10.57
diastole1703.png,4.39
diastole1704.png,21.62
diastole1705.png,19.27
diastole1706.png,9.91
diastole1707.png,1.58
diastole1708.png,10.61
diastole1709.png,1.28
diastole171.png,-1.41
diastole1710.png,13.13
diastole1711.png,23.89
diastole1712.png,7.15
diastole1713.png,17.65
diastole1714.png,8.3
diastole1715.png,17.48
diastole1716.png,22.86
diastole1717.png,-2.31
diastole1718.png,4.7
diastole1719.png,-7.05
diastole1720.png,-6.03
diastole172.png,-7.25
diastole1721.png,18.43
diastole1722.png,19.75
diastole1723.png,0.72
diastole1724.png,25.36
diastole1725.png,8.08
diastole1726.png,5.69
diastole1727.png,14.56
diastole1728.png,5.81
diastole1729.png,6.45
diastole173.png,-0.18
diastole1730.png,31.61
diastole1731.png,-4.03
